Categories,Link,Reviewer,Rating,Title,Review
,https://ca.trustpilot.com/reviews/5fd7d9a1755dc10b4822c503,Kim Possible,1 star: Bad,Instacart is rude and not friendly to…,Instacart is rude and not friendly to customers. I have also done instacart and they constantly deactivated my account saying I was not who I said I was even after providing more than enough proof that I was. There have been problems with my app and Corporate is unprofessional. Do not recommend these hoes
,https://ca.trustpilot.com/reviews/5fd67539755dc10b4821908c,Mary,1 star: Bad,Horrible experience,"Horrible experience, my shopper bought 2 items at 75.00 each on my tab. Be aware and watch your receipts!Instascam !!"
,https://ca.trustpilot.com/reviews/5fd52e1d755dc107e0c11bda,Ri Sakamoto,1 star: Bad,Cheaters!!!,
,https://ca.trustpilot.com/reviews/5fd274a8755dc10b481e8298,Kent Harris,1 star: Bad,How can insta cart expect shoppers to…,How can insta cart expect shoppers to maintain a 5 star rating when their rating is less than 2???
,https://ca.trustpilot.com/reviews/5fd160f1755dc107e0bdbc7f,Charis ford,1 star: Bad,Our food was on time,"Our food was on time, however our Bill at Bjs was 265.00 the driver left the receipt.  Instagram place a hold on my debit card for $400 and emailed me a receipt for 361.00.  Unbelievable I feel so cheat, my husband has been on the line with them for about 30 mins now trying to find how to get credited. I would not recommend anyone use this service."
,https://ca.trustpilot.com/reviews/5fd0d44d755dc10b481cb463,Shannon Bayiha,1 star: Bad,WORST F**** SERVICE ON PLANET…,WORST F**** SERVICE ON PLANET EARTH!!!!!!! THEY BLOCKED MY ACCOUNT AFTER THE SECOND DAY OF USING THEIR SERVICE !!!!!!!!! I NEEDED FOOD TO COOK FOR MY FAMILY I WAS NOT ABLE TO DRIVE THEY TOLD ME TO SEND A PICTURE AND ID TO THEM VIA EMAIL AND I HAD TO WAIT 24 HOURS TO UNBLOCK MY ACCOUNT THESE ARE FU**** CLOWNS AND I HATE EVERYONE THAT WORKS FOR THIS COMPAN=Y!!! THEY DESERVE TO BE SHUT DOWN!!!!!!!!!!!
,https://ca.trustpilot.com/reviews/5fce5f75755dc105f02caab8,Elisha Lowery,1 star: Bad,If i could give a review of 0 stars I…,"If i could give a review of 0 stars I would. My food was supposed to be delivered the same day then my time got pushed back then I got a call from them stating it will have to be delivered tomorrow because the store I order my food from has closed. I was livid because I didn’t have any food in my home and I was waiting on them to deliver. They didn’t communicate at all with me because I could’ve went and picked up my items but they didn’t even give me that chance to do so. I demanded the next day be the first delivery. It’s the next day and yet again they push out my time of delivery. Now I’m furious, we will see if this gets delivered today. I am never using Instacart again on anything!!!"
,https://ca.trustpilot.com/reviews/5fce4df7755dc10768968cad,Sharon M.,1 star: Bad,$$$$$$BEWARE$$$$$,$$$$$$BEWARE$$$$$MISLEADING COMPANY OFFERS $20.00 OFF YOUR ORDER IS A LIE AND THEY TALK TO YOU LIKE CRAP WHEN YOU COMPLAIN AND THEN DEACTIVATE YOUR ACCOUNT.HASSLE TO GET MONEY BACK FOR OVERCHARGES TOO SO i HEARD.USE OTHER COMPANY WITH SATISFACTION
,https://ca.trustpilot.com/reviews/5fcdb47f5e693f0704a2243b,Skylar Blakely Dillon,1 star: Bad,Please close customers gates.,"Hey! The Kings Soopers closest to us uses Instacart for delivery. Our house is a double property, the delivery is to my grandma in the smaller house, so I understand being confused on what gate to enter in. My problem is each time we get a delivery PEOPLE LEAVE THE GATE OPEN. Our dogs have almost gotten hit, we’ve gotten threats from animal control, so please. Our dogs have gotten out multiple times now and we’re not sure who to contact to try to put a note or something. The gates kinda hard to close, it’s not a main entry we use often, we understand. Tonight, however, both doors were WIDE OPEN. That’s not okay people please at least TRY to close the gate so our dogs have a harder time escaping."
,https://ca.trustpilot.com/reviews/5fcbbdb85e693f0704a105c6,Rev Dragon,1 star: Bad,Broken rating system,Broken rating system. Fix this unfair system! Good batches only being offered to those who luck out with all 5 star ratings! Once you get one bad rating even if it was for something out your control there goes all your decent batches. BROKEN
,https://ca.trustpilot.com/reviews/5fcbb42f5e693f06047901d4,Lepp,1 star: Bad,FORGET trying to give an Instacart gift card.,"FORGET trying to give an Instacart gift card.  Their system (they use an external provider to process these) will NOT let you give a gift card (to a current instacart user) UNLESS you, also, have an established Instacart account.  So, unlike every other platform online, you can't just check out with a valid credit card."
,https://ca.trustpilot.com/reviews/5fcb34495e693f06047888ec,fiona C,1 star: Bad,Quite frankly I'm disappointed and…,"Quite frankly I'm disappointed and unhappy with the resolution it discourages me from using instacart anytime in the future. I am astonished at representative for think that the resolution match the disgusting way that my food was handled, especially my rotisserie chicken. My Wife, two small  children, and myself had already consumed it before we knew that it was handled so unsanitary.I don't know if the womens shorts were riding up or  she was suffering from a severe  undercarriage rash. What I do know  is that she was going  to town  with it, like  knuckle deep. I do have a security video and screenshots of the incident that I would be elated to share. The thought of somebody's feces being on the container of something I just ate is quite repulsive. Especially in a time where we have an epidemic in our hands. I decided to use this service in order to not be exposed to the dangerous out there only to be exposed to other infectious diseases that include cholera, typhoid, hepatitis, polio, cryptosporidiosis, ascariasis, and schistosomiasis."
