Link,Reviewer,Rating,Title,Review
https://www.sitejabber.com/reviews/instacart.com#1295,san R.,1.0 star rating,Unethical and Horrible practices to cheat customers by instacart company and shoppers,"								Terrible company and shoppers, I have very bad experience not just once but 4 times, today I got a small toilet paper roll delivered when I ordered for a large pk of paper towels for 28.99. How can anyone with brain make such poor choices unless their intent is to cheat, after spending 4 hours with various support people without refund I am better off campaigning to banish this unethical company from America								
							"
https://www.sitejabber.com/reviews/instacart.com#1361,Ellen B.,1.0 star rating,Stole my money!,"								Incredibly, Instacart charged me over $95, associated with CA, but no store listed, for groceries I never purchased. I live in Ohio and have not traveled anywhere near California for years. Now, in the middle of this pandemic, as I am tight on funds, they're reviewing my case and will get back to me. Be warned! It may take me up to a week to see my money again! I won't use Instacart again! If you do, keep a careful eye on your bank account!								
							"
https://www.sitejabber.com/reviews/instacart.com#1523,Nancy S.,1.0 star rating,Never Again,"								I have been using insta cart for awhile now and have had trouble in the past with them. They are the most unorganized, horrible customer service, and have NO listening skills. I had an order delivered today that had another shoppers stuff charged to my card. When I called they kept telling me it wasn't in my cart. No kidding! The shopper herself told me she billed someone else's groceries to my account. I will NEVER us insta cart again. Which means unless Kroger gets someone else I will not be using them for delivery either.								
							"
https://www.sitejabber.com/reviews/instacart.com#1398,Mark H.,1.0 star rating,Authorized Hold on my credit card,"								Purchased items valued at $152.07. This amount was taken from my account on May 18th. A day later, Instacart, then place a hold for $225. Now I am told it will take 2 -3 BUSINESS days before I receive the held funds! Never experienced this type of online transaction for retail purchases, perhaps its common in the Hotel industry for reservations. Crazy!								
							"
https://www.sitejabber.com/reviews/instacart.com#955,Karen H.,1.0 star rating,Delivers warm food that should be cold,"								I placed an order that included bacon. When they delivered the order, the bacon was room temperature. Ugh! Who knows how long it was sitting out. Unlike other delivery services, they did not have it specially wrapped or anything. Disgusted. Can't even get a hold of anyone unless you want to wait 2.5 hours which is what the automatic voice said. Not even an option to have an automatic call back. I will NEVER use Instacart again.								
							"
https://www.sitejabber.com/reviews/instacart.com#1342,divakar K.,1.0 star rating,Instacart price scam,"								It is almost equal to cheating. They rip the customer utilize this pandemic situation.
This service is a rip off they mark up the prices by 25%.
I purchased grocery at Costco from $342 (including tax and exclude tips) order in that actual price is 284(include tax) was their mark up. Almost 60$ more for one order i did 3 order till now. I would have payed Walmart or Amazon prime paying 12.99 and get may other benefit along with the proper items. I don't how Costco allow these kind of fraud company.								
							"
https://www.sitejabber.com/reviews/instacart.com#934,JM V.,1.0 star rating,"Instacart Doesn't Deliver, But Keeps Your Money","								Instacart was scheduled to deliver our order from Fred Meyers between 9:00 pm and 10:00 pm on 03/24/2020. At 8:44 PM we were messaged that there were delays and the groceries would be delivered by 11:30 PM. At midnight, we finally gave up waiting for the delivery. Instacart never delivered our groceries or contacted us again about the delivery. Now their website says that there is no driver listed for our order. We are working with our Credit Union to cancel payment.								
							"
https://www.sitejabber.com/reviews/instacart.com#1107,Nancy F.,1.0 star rating,Read these reviews!,"								I agree with the other low raters here! I tried Instacart today for the first time, and it was definitely a bad experience! The shopper woman made several mistakes, charged me too much, and now I have to wait up to 7 days for my adjustment from the $170 the co. Automatically charges to get started. Scary to think I won't be getting this refund because of everything else negative from today! NEVER AGAIN!								
							"
https://www.sitejabber.com/reviews/instacart.com#1659,John B.,1.0 star rating,Allows fraudulent purchases for hundreds of dollars to made on your account. STAY AWAY!,"								THREE TIMES I have had shoppers fail to deliver entire orders and made FRAUDULENT purchases on my account that I had to call support to have reversed. It seems this is a common scam that shoppers are permitted to carry out repeatedly without consequences. The customer service phone number sends you to email and disconnects. Horrible, disorganized, DANGEROUS company that should not be allowed to do business in the US.								
							"
https://www.sitejabber.com/reviews/instacart.com#1044,Gary E.,1.0 star rating,Scammed Twice,"								I've ""tried' to use instacart during this virus epidemic to keep my family safe. First time they delivered
To wrong address and told me tough. Fortunately, I found the address and was able to get the order.
Second time, they only delivered 1/2 the order yet charged me for the full order and will not respond or
Reply. I've forwarded case to Police and Sheriff's Office for prosecution. This is fraud by means of interstate
Commerce folks. A federal felony.								
							"
