Link,Reviewer,Rating,Title,Review
https://ca.trustpilot.com/reviews/5fd7d9a1755dc10b4822c503,Kim Possible,1 star: Bad,Instacart is rude and not friendly to…,Instacart is rude and not friendly to customers. I have also done instacart and they constantly deactivated my account saying I was not who I said I was even after providing more than enough proof that I was. There have been problems with my app and Corporate is unprofessional. Do not recommend these hoes
https://ca.trustpilot.com/reviews/5fd7d479755dc10b4822be17,Mary,1 star: Bad,Beware,Have shopped with Instacart several times. Was waiting for an order today got a notification that my shopper had checked out. My order total was $52. Got another notification that my shopper was unable to deliver my order and they would find someone to deliver ASAP. Got another notification that my order total was $208. Canceled the order and called my bank. Will never use them again
https://ca.trustpilot.com/reviews/5fd7aa56755dc107e0c2d070,Km,1 star: Bad,Never use instacart they have the worst…,Never use instacart they have the worst customer service. My order has to be delivered yesterday but they said sorry we have to reschedule it for today at 11 but they didn't send it at 11 and they said it's rescheduled again for 2 p.m. so now you can judge how bad they are in the customer service thing.At the end I have to cancel my order and go pick up all the brushes myself I ordered it because with the kids a little hard but I think they have the worst to First customer service I have ever seen in my life
https://ca.trustpilot.com/reviews/5fd77f92755dc107e0c290cc,YBGamingxo,1 star: Bad,Instacart is beyond trash my shopper…,Instacart is beyond trash my shopper added items without my approval so they sent another and he left out items. I still have yet to receive my refund plus their customer phone support is trash just like their service
https://ca.trustpilot.com/reviews/5fd7779a755dc10b48223859,Nikki Vedo,1 star: Bad,!!!!!!!!!!Shoppers for instacart…,!!!!!!!!!!Shoppers for instacart beware!!!!!!!!!!!Customers will bait you with big tips and once the order is delivered will take the full tip away. After lugging 6 boxes filled with items downhill and up flights of stairs for a $134 tip the customer removed the tip amount claiming all items were damaged and accused me of stealing a comforter that wasn’t even on the receipt. The customer did not offer photo proof and Instacart has no shopper support. The order was for $161 total for 90 items from Costco. I walked away with $34 for the entire order after the customer removed their tip. Instacart is a scam!!!
https://ca.trustpilot.com/reviews/5fd6e886755dc10b4821ba37,Akanksha Gautam,1 star: Bad,Worst customer service,"I am an instacart customer past many years more than three years now .It’s unfortunate how their customer care works ..Received a spoilt chicken which had gone slimy and when reported it to customer care they told me they can do nothing about it .Here is the thing .I don’t think when you shop groceries for 100s of dollars you are expecting a return of 11$ .It’s more about how they treat their loyal customers .I found that customer service is lacking and unfortunate that they deal with their customers .Just to let them know there are 100s of other online grocery shopping apps .If you really want to stay in business ,improve your customer service .Will not be using their app going forward for sure"
https://ca.trustpilot.com/reviews/5fd6c00a755dc107e0c200c2,Katie Musser,1 star: Bad,Awful,"Awful. Shopper took 2 1/2 hours to pick out three simple items at the store. 30 seconds after he marked it as check out complete and en route, he marked it as delivered but my groceries were nowhere to be found and I live 25 minutes from the store so there’s no way he could’ve made it there in 30 seconds. The proof of delivery photo was just a black square. Guessing he stole my groceries now I’m left with nothing to eat for dinner because the store is now closed. First and last time using instacart."
https://ca.trustpilot.com/reviews/5fd6a4ee755dc10b4821abeb,Katie Barbee Demorest,1 star: Bad,Instacart Letdown,"I have tried Instacart three times during their 2-week trial period. Two of those times the shopper has forgotten a couple items; specifically, the items I needed more than anything. Now, I have to go to the grocery store, which kind of defeats the purpose, doesn't it? I will be canceling this service."
https://ca.trustpilot.com/reviews/5fd699a1755dc107e0c1f4d7,Cece,1 star: Bad,They charge .50-1.00 more than what the…,They charge .50-1.00 more than what the store charges!!!!
https://ca.trustpilot.com/reviews/5fd67539755dc10b4821908c,Mary,1 star: Bad,Horrible experience,"Horrible experience, my shopper bought 2 items at 75.00 each on my tab. Be aware and watch your receipts!Instascam !!"
https://ca.trustpilot.com/reviews/5fd58152755dc10b4820eeee,Cheryl,1 star: Bad,HORRIFIC COSTUMER SERVICE PROMISE 2 hr…,HORRIFIC COSTUMER SERVICE PROMISE 2 hr delivery after u sit there picking ur items at 7 pm a message pops up No delivery today ! U call customer service to be hung up on! That’s why I paid 10 A month! Don’t waste ur time or money!!!
